Price,Close,High,Low,Open,Volume
Ticker,SIE.DE,SIE.DE,SIE.DE,SIE.DE,SIE.DE
Date,,,,,
2000-01-03,48.25425720214844,51.02838759311606,47.94167711125239,50.598594233785136,2408533
2000-01-04,46.30454635620117,48.406635146102765,45.988058960010235,48.40272781003817,3421112
2000-01-05,44.73773956298828,46.16387597685641,43.565569702428846,45.05031614495888,3938401
2000-01-06,44.19074249267578,44.89013528286581,43.44836899903053,44.3861025015209,3326886
2000-01-07,45.96853256225586,46.515546083576545,43.44837189979757,44.24935549708553,3914176
2000-01-10,48.70358657836914,48.840339939702815,47.2774497441365,47.668173146158296,3109941
2000-01-11,49.03961181640625,50.09065810414444,48.45352836530901,48.78173441541923,3290906
2000-01-12,48.51994705200195,48.84033838872418,47.621283597141954,48.41054504891337,2975461
2000-01-13,50.40325164794922,52.70460892945026,48.10189436644818,48.13706040902004,6194023
2000-01-14,53.02107620239258,53.70483962677937,50.86819176592642,50.87209910249506,3828295
2000-01-17,54.1971549987793,54.50582778894113,51.2237535173845,53.489947494767826,3484209
2000-01-18,51.96613311767578,54.466760775905605,51.036214126815025,54.310470694135816,3286878
2000-01-19,51.282352447509766,51.65353913505923,50.110185756574914,51.26281576724076,2594500
2000-01-20,53.697017669677734,53.99787571961018,51.9661155798579,51.9661155798579,3464073
2000-01-21,53.52901840209961,55.28726873901692,52.595188813277524,53.09531426356187,3451326
2000-01-24,54.955162048339844,60.05018984051484,54.955162048339844,55.95150573353357,7551123
2000-01-25,55.482627868652344,58.40913753363708,54.69727372351146,54.70118105993069,5009212
2000-01-26,55.482627868652344,57.37763484416795,54.720717742026864,56.65479466921393,3066517
2000-01-27,58.5693244934082,58.5693244934082,55.1348719425576,55.71705131535629,2602162
2000-01-28,59.0382194519043,60.698793568458726,57.830889671725714,58.608425966162955,4587343
2000-01-31,54.35344696044922,58.60451363181961,54.11510622618781,58.02233065075545,3697262
2000-02-01,56.32267761230469,56.72511958697306,54.974684173924175,56.45943096547612,3331336
2000-02-02,56.38127899169922,57.14318899733524,55.87333898794187,56.65478567257169,2932653
2000-02-03,59.49535369873047,60.41355393042204,55.795208240260145,55.795208240260145,3288063
2000-02-04,63.10172653198242,63.40258121883094,59.780579078958894,59.97593908795034,2926407
