Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2000-03-28,60.69455337524414,62.92415211848954,60.47778781925907,62.30481913425471,8524482
2000-03-29,58.96044921875,60.6636146372645,58.71271592318461,60.601679336378105,7648666
2000-03-30,60.81842803955078,60.94229465282844,58.80559853928056,58.89849751074156,9579268
2000-03-31,58.65071487426758,61.31384283920768,58.000418667889484,60.7564455260285,8383899
2000-04-03,60.44681930541992,60.63262117499155,59.17718967163217,59.45589049899541,8070518
2000-04-04,60.04426193237305,62.893189953780066,57.009532022532774,60.19909618040264,17433891
2000-04-05,61.9332160949707,62.30481586601911,59.33202165162005,59.70362142266847,9093401
2000-04-06,60.81842803955078,63.41962296439262,60.75649670990644,61.190027879383756,9296220
2000-04-07,61.00423812866211,62.273868119763755,60.19910701123154,61.19003609653473,5627794
2000-04-10,60.50878143310547,62.11904392940574,60.230080482057666,61.809379281344974,5760636
2000-04-11,59.146270751953125,60.26107102565599,58.37210686070878,60.26107102565599,8094680
2000-04-12,56.3592529296875,59.27011318856056,55.33735210858022,59.27011318856056,9293919
2000-04-13,54.810935974121094,56.637964537264416,54.5012673012557,55.73993408473513,8615274
2000-04-14,52.02391052246094,55.86377159215883,50.97104628328323,54.40833987006508,12323972
2000-04-17,55.430233001708984,55.616030920345494,51.18780501696486,51.466505848908106,10428097
2000-04-18,55.24443054199219,57.04049420367481,54.53219860480711,55.61603032930464,8582953
2000-04-19,52.02391052246094,54.377372228150996,50.94007864136915,54.377372228150996,15349527
2000-04-20,51.52843475341797,52.147767709802814,50.56846965951854,52.02390111852585,11122432
2000-04-24,52.76711654663086,53.10774878665988,50.16592130096426,50.53752118662941,8915163
2000-04-25,55.73988723754883,55.987620386034735,52.73612577764806,52.76709340970574,10016914
2000-04-26,54.748985290527344,56.452150651254435,54.00578542904752,55.7399184391671,6467209
2000-04-27,54.810935974121094,56.049598803609456,53.8509702054223,54.25353394455981,6608105
2000-04-28,55.24443054199219,55.83279588340646,54.56316624224692,55.49216373353383,5113476
2000-05-01,55.492183685302734,56.08054923825912,54.71802014888218,55.73991696591489,4389121
2000-05-02,55.1825065612793,56.2973021175143,54.841874366097,54.99670466591416,4272910
2000-05-03,53.57224655151367,55.058646063550526,52.79808310448653,54.74897752154815,5798815
2000-05-04,53.324501037597656,54.0986682605953,53.10773548043463,54.06770062271816,3798340
2000-05-05,53.448368072509766,54.31543426224595,52.76710375756846,52.82903507984106,4911075
2000-05-08,54.442955017089844,54.752997009422785,53.38882095242499,53.60584797180338,5048937
2000-05-09,54.070926666259766,54.877032972486894,53.69888247416629,54.81502296796516,5088685
2000-05-10,51.094539642333984,52.42771104249443,50.62948049602945,52.33470000498528,10473284
2000-05-11,51.80766296386719,53.326861339178336,51.187586357068895,51.590635755611665,8479085
2000-05-12,51.80766296386719,52.458748547395,51.218587416275945,51.46661964249976,5857286
2000-05-15,51.68362045288086,52.02466357393489,50.59848109020408,51.59060545360884,6179559
2000-05-16,54.070926666259766,54.19494271654399,52.08667382047125,52.14868382499298,7600027
2000-05-17,53.51286697387695,54.00893127285426,52.64475445066667,53.32684484114046,5778627
2000-05-18,52.61375045776367,53.23382683803735,51.93166010544696,52.6447515056455,4787751
2000-05-19,52.799766540527344,53.32683575810627,52.08667522189662,52.61374443947556,6714483
2000-05-22,54.1949577331543,54.19495773315429,51.31159069293673,52.58275259150061,7080792
2000-05-23,53.264854431152344,54.56702171591484,53.140838310757744,54.07095723433647,6253929
2000-05-24,54.3809814453125,54.56700358471332,51.6836366714397,52.83078243485178,8560673
2000-05-25,52.8307991027832,55.68316586524181,52.76878906424555,54.815053037044414,6242110
2000-05-26,53.047794342041016,53.171810385595975,51.8696439076484,52.334703081289746,4494557
2000-05-30,55.03205490112305,55.06305990610786,53.419850064546715,53.45085506953153,3783905
2000-05-31,53.23381805419922,54.9390377154818,53.171812009907065,54.815021668138364,3904195
2000-06-01,52.582759857177734,54.03994806344111,52.33472765361117,53.357857524252616,5975275
2000-06-02,53.977928161621094,54.442987468567594,53.38885277557153,54.07093923125837,5725072
2000-06-05,55.96220397949219,56.64429066129992,53.79192385509143,53.79192385509143,7616344
2000-06-06,55.745147705078125,56.861292284564634,55.1870773947147,55.68314165226426,5616392
2000-06-07,60.023704528808594,60.39574879161007,55.311097681123464,55.80716197653874,11626813
2000-06-08,59.403602600097656,60.674763926684754,58.28745834049726,59.21757657745165,9754578
2000-06-09,59.37261962890625,59.89968893671408,58.969566395949684,59.46563069535469,4957099
2000-06-12,58.95405197143555,59.74465176144191,58.95405197143555,59.093566554150414,3807754
2000-06-13,59.18659973144531,59.49663795090336,57.91543392651896,58.96956862318851,4192996
