Price,Close,High,Low,Open,Volume
Ticker,DBK,DBK,DBK,DBK,DBK
Date,,,,,
2008-04-21,123.5,125.19999694824219,123.5,125.19999694824219,1759
2008-04-22,120.80000305175781,122.4000015258789,120.80000305175781,120.9000015258789,1145
2008-04-23,118.30000305175781,119.5999984741211,118.30000305175781,119.5999984741211,160
2008-04-24,121.69999694824219,121.69999694824219,119.5999984741211,119.5999984741211,120
2008-04-25,123.4000015258789,124.30000305175781,123.30000305175781,123.5,748
2008-04-28,124.69999694824219,125.0999984741211,122.80000305175781,124.4000015258789,2566
2008-04-29,123.69999694824219,124.30000305175781,122.19999694824219,122.19999694824219,1420
2008-04-30,125.5999984741211,125.5999984741211,123.4000015258789,123.4000015258789,964
2008-05-02,128.3000030517578,129.3000030517578,126.0,126.0,10284
2008-05-05,128.1999969482422,128.89999389648438,127.80000305175781,127.80000305175781,1332
2008-05-06,127.0999984741211,127.4000015258789,125.69999694824219,127.19999694824219,1307
2008-05-07,127.5,127.5,127.5,127.5,82
2008-05-08,124.0999984741211,124.9000015258789,124.0999984741211,124.30000305175781,840
2008-05-13,123.69999694824219,124.5,123.69999694824219,124.5,2630
2008-05-14,124.9000015258789,124.9000015258789,123.5,124.30000305175781,4912
2008-05-15,123.5999984741211,124.5,123.5999984741211,124.30000305175781,10330
2008-05-16,125.0999984741211,125.0999984741211,124.30000305175781,124.30000305175781,2378
2008-05-19,123.9000015258789,124.19999694824219,123.9000015258789,124.0,370
2008-05-20,123.0,123.9000015258789,122.69999694824219,123.9000015258789,765
2008-05-21,119.30000305175781,122.9000015258789,119.30000305175781,122.9000015258789,880
2008-05-23,116.5,119.4000015258789,116.5,119.4000015258789,1888
2008-05-27,117.69999694824219,117.69999694824219,116.4000015258789,116.9000015258789,1221
2008-05-28,118.30000305175781,118.9000015258789,118.30000305175781,118.4000015258789,1250
2008-05-29,117.5999984741211,119.30000305175781,117.4000015258789,119.30000305175781,1655
2008-05-30,112.19999694824219,112.80000305175781,111.80000305175781,112.69999694824219,3103
2008-06-02,108.80000305175781,110.69999694824219,108.80000305175781,110.69999694824219,1740
2008-06-03,108.0,108.69999694824219,108.0,108.0,605
2008-06-04,106.0999984741211,107.4000015258789,105.5999984741211,107.4000015258789,2687
2008-06-05,106.80000305175781,107.69999694824219,106.0,107.0999984741211,1425
